diet_group,sex,age_group,n_participants,mean_ghgs,mean_land,mean_watscar,mean_watuse,mean_acid,mean_eut,mean_bio,mean_ghgs_ch4,mean_ghgs_n2o
meat100,female,50-59,1753.0,11.574,24.934,21957.749,960.197,46.34,40.681,424.997,2.486,0.827
meat100,female,60-69,843.0,11.52,24.78,22267.712,967.902,46.209,40.299,418.759,2.482,0.826
meat100,female,70-79,274.0,11.991,26.031,22709.032,980.562,47.783,41.205,432.052,2.636,0.859
meat100,male,20-29,132.0,12.105,24.339,24385.456,1060.966,52.156,49.977,452.815,2.584,0.917
meat100,male,30-39,260.0,11.179,22.646,23344.169,1020.448,46.535,44.006,417.295,2.327,0.836
meat100,male,40-49,616.0,11.494,24.185,21888.217,932.619,46.705,43.078,426.421,2.441,0.841
meat100,male,50-59,591.0,11.678,24.765,22196.916,948.052,47.282,42.541,424.305,2.494,0.846
meat100,male,60-69,543.0,11.45,24.238,22420.088,963.567,46.82,41.516,419.969,2.483,0.837
meat100,male,70-79,168.0,12.264,26.714,22944.25,982.879,48.459,43.001,446.024,2.671,0.889
meat50,female,20-29,764.0,5.386,8.054,16975.913,742.816,25.078,22.897,258.61,1.0,0.375
meat50,female,30-39,1483.0,5.489,8.029,17506.085,761.775,25.8,23.118,259.545,1.01,0.375
meat50,female,40-49,2093.0,5.605,8.372,17389.599,756.595,26.273,23.294,264.795,1.05,0.382
meat50,female,50-59,1698.0,5.744,8.589,17812.886,789.643,27.165,23.684,265.987,1.09,0.391
meat50,female,60-69,1047.0,5.862,8.773,18049.559,803.482,27.929,24.159,274.486,1.135,0.397
meat50,female,70-79,381.0,5.836,8.744,18143.596,809.874,27.649,23.97,273.305,1.138,0.397
meat50,male,20-29,131.0,5.843,8.781,17395.332,749.009,26.936,24.82,277.013,1.087,0.408
meat50,male,30-39,370.0,5.923,8.587,18760.174,818.592,27.601,24.939,276.551,1.077,0.402
meat50,male,40-49,448.0,5.899,8.674,17926.287,772.623,27.48,24.225,274.409,1.08,0.394
meat50,male,50-59,410.0,5.933,8.888,17753.366,772.424,27.832,24.39,280.05,1.115,0.404
meat50,male,60-69,364.0,5.922,9.083,17674.903,794.377,27.691,24.421,275.39,1.126,0.406
meat50,male,70-79,143.0,6.126,9.377,18417.879,816.379,28.641,25.064,291.468,1.192,0.415
vegan,female,20-29,487.0,2.383,4.05,13526.411,411.916,10.489,10.648,109.764,0.138,0.198
vegan,female,30-39,376.0,2.54,4.263,13977.928,425.504,11.007,11.121,123.442,0.151,0.213
vegan,female,40-49,219.0,2.658,4.526,15304.06,451.688,11.872,11.714,127.59,0.172,0.222
vegan,female,50-59,106.0,2.52,4.428,15130.224,424.693,11.468,10.831,125.142,0.142,0.219
vegan,female,60-69,81.0,2.634,4.742,15675.199,439.411,11.908,11.333,128.762,0.145,0.223
vegan,female,70-79,25.0,2.84,4.758,16572.485,505.931,12.369,12.406,135.011,0.196,0.23
vegan,male,20-29,198.0,2.843,4.846,15880.592,492.222,12.428,12.836,124.675,0.161,0.23
vegan,male,30-39,251.0,2.698,4.49,15193.403,452.753,11.771,11.62,126.11,0.146,0.217
vegan,male,40-49,165.0,2.694,4.554,14841.208,441.906,11.679,11.63,132.012,0.148,0.225
vegan,male,50-59,62.0,2.525,4.414,14370.529,416.335,11.196,11.198,122.925,0.143,0.212
vegan,male,60-69,52.0,2.427,4.56,17095.889,477.762,11.453,10.763,117.694,0.109,0.213
vegan,male,70-79,19.0,2.588,4.499,16181.931,460.112,11.543,11.434,119.286,0.164,0.218
veggie,female,20-29,3752.0,4.32,6.207,15116.316,545.573,20.43,17.353,242.831,0.767,0.29
veggie,female,30-39,3634.0,4.368,6.266,15473.426,547.909,20.835,17.397,248.11,0.767,0.293
veggie,female,40-49,2696.0,4.387,6.318,15792.643,546.729,21.156,17.356,248.887,0.767,0.293
veggie,female,50-59,1203.0,4.37,6.31,16380.319,553.108,21.288,17.164,246.157,0.755,0.294
veggie,female,60-69,536.0,4.472,6.476,16815.591,564.219,21.846,17.445,253.656,0.796,0.3
veggie,female,70-79,289.0,4.473,6.633,17181.323,565.184,21.912,17.479,256.698,0.799,0.306
veggie,male,20-29,646.0,4.9,6.903,16770.458,609.392,23.13,19.493,268.23,0.853,0.323
veggie,male,30-39,1221.0,4.808,6.787,16603.476,594.307,22.864,18.988,266.149,0.812,0.316
veggie,male,40-49,961.0,4.61,6.61,16477.662,576.241,21.866,18.276,251.352,0.765,0.305
veggie,male,50-59,426.0,4.455,6.522,16333.409,559.64,21.187,17.619,244.248,0.733,0.3
veggie,male,60-69,229.0,4.445,6.629,16725.208,566.826,21.321,17.543,248.604,0.739,0.306
veggie,male,70-79,158.0,4.612,6.843,17972.881,602.572,22.134,18.284,259.421,0.795,0.32
